Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
30/10/2025,02:15:00,60.18,60.2,60.18,60.2,24,17,9,15
30/10/2025,02:16:00,60.19,60.2,60.16,60.16,33,32,23,10
30/10/2025,02:17:00,60.17,60.18,60.16,60.18,43,42,18,25
30/10/2025,02:18:00,60.18,60.18,60.16,60.17,44,34,21,23
30/10/2025,02:19:00,60.16,60.17,60.12,60.12,178,120,116,60
30/10/2025,02:20:00,60.12,60.12,60.07,60.08,243,197,121,118
30/10/2025,02:21:00,60.09,60.1,60.07,60.09,119,87,67,52
30/10/2025,02:22:00,60.08,60.1,60.07,60.09,101,74,44,57
30/10/2025,02:23:00,60.09,60.1,60.08,60.08,64,53,35,29
30/10/2025,02:24:00,60.08,60.11,60.08,60.11,48,41,5,43
30/10/2025,02:25:00,60.11,60.11,60.1,60.11,44,28,18,26
30/10/2025,02:26:00,60.11,60.13,60.11,60.13,14,14,9,5
30/10/2025,02:27:00,60.13,60.14,60.1,60.1,75,54,38,35
30/10/2025,02:28:00,60.11,60.12,60.1,60.12,37,31,19,18
30/10/2025,02:29:00,60.12,60.12,60.1,60.1,26,25,18,8
30/10/2025,02:30:00,60.1,60.15,60.1,60.15,129,96,27,98
30/10/2025,02:31:00,60.15,60.17,60.14,60.15,106,73,48,58
30/10/2025,02:32:00,60.16,60.18,60.16,60.17,83,57,9,59
30/10/2025,02:33:00,60.17,60.18,60.17,60.18,27,21,2,25
30/10/2025,02:34:00,60.18,60.19,60.18,60.18,14,14,6,8
30/10/2025,02:35:00,60.18,60.18,60.14,60.16,72,52,39,21
30/10/2025,02:36:00,60.17,60.17,60.08,60.09,426,230,165,257
30/10/2025,02:37:00,60.09,60.13,60.09,60.13,44,37,16,28
30/10/2025,02:38:00,60.13,60.13,60.12,60.12,10,10,6,4
30/10/2025,02:39:00,60.12,60.14,60.12,60.14,18,18,12,6
30/10/2025,02:40:00,60.14,60.15,60.13,60.14,29,27,16,13
30/10/2025,02:41:00,60.14,60.14,60.13,60.14,15,14,2,13
30/10/2025,02:42:00,60.14,60.15,60.14,60.15,49,18,45,4
30/10/2025,02:43:00,60.16,60.16,60.14,60.15,82,49,52,30
30/10/2025,02:44:00,60.15,60.16,60.1,60.11,73,64,45,28
30/10/2025,02:45:00,60.13,60.13,60.12,60.12,6,6,3,3
30/10/2025,02:46:00,60.12,60.13,60.12,60.13,24,24,10,14
30/10/2025,02:47:00,60.13,60.13,60.12,60.12,3,3,0,2
30/10/2025,02:48:00,60.13,60.14,60.12,60.12,14,14,2,12
30/10/2025,02:49:00,60.12,60.12,60.1,60.11,32,20,23,9
30/10/2025,02:50:00,60.11,60.14,60.11,60.14,18,18,6,11
30/10/2025,02:51:00,60.13,60.13,60.13,60.13,2,2,1,1
30/10/2025,02:52:00,60.12,60.13,60.11,60.12,38,32,12,26
30/10/2025,02:53:00,60.11,60.11,60.1,60.1,2,2,1,1
30/10/2025,02:54:00,60.1,60.11,60.1,60.11,9,9,5,4
30/10/2025,02:55:00,60.11,60.11,60.11,60.11,5,5,2,3
30/10/2025,02:56:00,60.11,60.12,60.1,60.12,9,8,8,1
30/10/2025,02:57:00,60.11,60.11,60.09,60.11,25,16,18,6
30/10/2025,02:58:00,60.11,60.11,60.1,60.1,11,10,4,7
30/10/2025,02:59:00,60.09,60.1,60.08,60.09,15,15,7,8
30/10/2025,03:00:00,60.1,60.13,60.09,60.13,18,18,3,15
30/10/2025,03:01:00,60.13,60.14,60.12,60.13,21,21,10,11
30/10/2025,03:02:00,60.13,60.14,60.12,60.13,13,13,4,9
30/10/2025,03:03:00,60.13,60.15,60.13,60.15,14,14,5,9
30/10/2025,03:04:00,60.15,60.15,60.15,60.15,23,21,4,19
30/10/2025,03:05:00,60.15,60.15,60.12,60.12,26,24,24,2
30/10/2025,03:06:00,60.13,60.13,60.12,60.12,13,12,7,6
30/10/2025,03:07:00,60.12,60.13,60.12,60.13,11,11,6,5
30/10/2025,03:08:00,60.13,60.13,60.13,60.13,4,4,1,3
30/10/2025,03:09:00,60.13,60.15,60.13,60.15,6,6,3,3
30/10/2025,03:10:00,60.14,60.15,60.13,60.13,6,6,3,1
30/10/2025,03:11:00,60.14,60.16,60.14,60.16,19,19,4,15
30/10/2025,03:12:00,60.17,60.17,60.15,60.16,29,29,16,13
30/10/2025,03:13:00,60.16,60.16,60.15,60.15,17,17,5,12
30/10/2025,03:14:00,60.16,60.17,60.16,60.16,84,21,10,74
30/10/2025,03:15:00,60.16,60.18,60.16,60.18,37,35,13,24
30/10/2025,03:16:00,60.17,60.18,60.17,60.17,16,14,7,9
30/10/2025,03:17:00,60.17,60.19,60.17,60.18,50,48,11,39
30/10/2025,03:18:00,60.18,60.2,60.18,60.2,16,16,8,8
30/10/2025,03:19:00,60.2,60.23,60.19,60.23,72,70,25,47
30/10/2025,03:20:00,60.24,60.25,60.22,60.22,45,44,12,33
30/10/2025,03:21:00,60.22,60.23,60.21,60.22,9,9,4,5
30/10/2025,03:22:00,60.21,60.21,60.16,60.17,39,39,28,11
30/10/2025,03:23:00,60.16,60.17,60.16,60.16,17,17,11,6
30/10/2025,03:24:00,60.17,60.17,60.16,60.17,9,9,3,6
30/10/2025,03:25:00,60.17,60.18,60.17,60.17,8,8,4,4
30/10/2025,03:26:00,60.18,60.18,60.17,60.17,16,7,16,0
30/10/2025,03:27:00,60.18,60.18,60.17,60.18,12,11,4,8
30/10/2025,03:28:00,60.18,60.18,60.17,60.18,9,9,4,5
30/10/2025,03:29:00,60.18,60.18,60.17,60.17,10,10,3,7
30/10/2025,03:30:00,60.17,60.21,60.17,60.19,77,75,32,45
30/10/2025,03:31:00,60.19,60.21,60.19,60.21,22,22,10,11
30/10/2025,03:32:00,60.21,60.24,60.2,60.24,48,46,13,35
30/10/2025,03:33:00,60.23,60.25,60.23,60.25,76,69,27,45
30/10/2025,03:34:00,60.25,60.28,60.23,60.26,74,73,13,61
30/10/2025,03:35:00,60.27,60.28,60.26,60.27,77,72,40,37
30/10/2025,03:36:00,60.28,60.32,60.27,60.32,123,109,36,80
30/10/2025,03:37:00,60.31,60.32,60.29,60.29,54,41,35,19
30/10/2025,03:38:00,60.29,60.3,60.29,60.3,27,27,10,17
30/10/2025,03:39:00,60.31,60.35,60.31,60.34,87,82,39,48
30/10/2025,03:40:00,60.34,60.34,60.32,60.33,27,27,16,11
30/10/2025,03:41:00,60.33,60.33,60.32,60.33,4,4,1,3
30/10/2025,03:42:00,60.32,60.32,60.31,60.32,18,18,9,9
30/10/2025,03:43:00,60.32,60.34,60.31,60.31,16,16,6,10
30/10/2025,03:44:00,60.32,60.33,60.32,60.32,12,12,1,10
30/10/2025,03:45:00,60.33,60.35,60.33,60.34,42,40,15,27
30/10/2025,03:46:00,60.33,60.36,60.32,60.36,24,24,8,16
30/10/2025,03:47:00,60.35,60.37,60.35,60.37,16,16,7,9
30/10/2025,03:48:00,60.36,60.36,60.35,60.36,13,13,11,2
30/10/2025,03:49:00,60.36,60.36,60.36,60.36,5,5,3,2
30/10/2025,03:50:00,60.35,60.35,60.33,60.34,49,40,21,28
30/10/2025,03:51:00,60.33,60.33,60.32,60.32,18,18,14,4
30/10/2025,03:52:00,60.32,60.34,60.32,60.34,15,14,6,9
30/10/2025,03:53:00,60.33,60.33,60.32,60.32,31,30,19,12
30/10/2025,03:54:00,60.31,60.32,60.31,60.32,166,52,13,152
30/10/2025,03:55:00,60.31,60.32,60.3,60.32,19,19,7,12
30/10/2025,03:56:00,60.32,60.32,60.31,60.31,5,5,5,0
30/10/2025,03:57:00,60.32,60.36,60.32,60.35,77,71,27,50
30/10/2025,03:58:00,60.35,60.38,60.35,60.38,198,80,39,159
30/10/2025,03:59:00,60.39,60.39,60.37,60.38,25,25,16,9
30/10/2025,04:00:00,60.37,60.38,60.37,60.38,24,24,11,13
30/10/2025,04:01:00,60.38,60.39,60.37,60.37,32,32,17,15
30/10/2025,04:02:00,60.38,60.4,60.38,60.39,42,36,8,34
30/10/2025,04:03:00,60.4,60.4,60.37,60.38,42,38,30,12
30/10/2025,04:04:00,60.38,60.39,60.37,60.37,10,9,6,4
30/10/2025,04:05:00,60.37,60.4,60.36,60.4,104,100,48,56
30/10/2025,04:06:00,60.41,60.43,60.4,60.4,81,73,31,50
30/10/2025,04:07:00,60.39,60.4,60.34,60.35,40,36,35,5
30/10/2025,04:08:00,60.35,60.37,60.35,60.37,85,61,61,24
30/10/2025,04:09:00,60.36,60.37,60.35,60.35,58,58,6,52
30/10/2025,04:10:00,60.35,60.35,60.22,60.22,258,146,214,41
30/10/2025,04:11:00,60.23,60.25,60.2,60.24,44,42,21,23
30/10/2025,04:12:00,60.25,60.28,60.25,60.28,13,11,5,8
30/10/2025,04:13:00,60.27,60.27,60.26,60.26,9,9,4,5
30/10/2025,04:14:00,60.24,60.26,60.22,60.22,73,69,45,28
30/10/2025,04:15:00,60.22,60.22,60.21,60.22,17,17,9,8
30/10/2025,04:16:00,60.22,60.25,60.21,60.24,40,38,25,15
30/10/2025,04:17:00,60.23,60.25,60.23,60.25,159,49,19,139
30/10/2025,04:18:00,60.26,60.27,60.25,60.25,39,37,16,23
30/10/2025,04:19:00,60.25,60.26,60.25,60.26,22,19,6,16
30/10/2025,04:20:00,60.25,60.25,60.23,60.23,13,12,10,3
30/10/2025,04:21:00,60.23,60.24,60.23,60.24,6,5,1,5
30/10/2025,04:22:00,60.23,60.23,60.22,60.23,146,33,135,11
30/10/2025,04:23:00,60.22,60.23,60.17,60.18,56,53,36,20
30/10/2025,04:24:00,60.18,60.18,60.14,60.15,68,63,41,27
30/10/2025,04:25:00,60.15,60.17,60.14,60.14,49,47,22,27
30/10/2025,04:26:00,60.15,60.18,60.14,60.18,24,22,10,14
30/10/2025,04:27:00,60.19,60.19,60.17,60.19,102,54,22,79
30/10/2025,04:28:00,60.2,60.21,60.18,60.18,19,18,8,11
30/10/2025,04:29:00,60.17,60.18,60.17,60.18,19,15,3,16
30/10/2025,04:30:00,60.18,60.2,60.17,60.2,28,28,13,15
30/10/2025,04:31:00,60.2,60.23,60.2,60.23,37,34,14,23
30/10/2025,04:32:00,60.23,60.24,60.22,60.22,25,18,13,12
30/10/2025,04:33:00,60.21,60.23,60.21,60.22,27,26,14,13
30/10/2025,04:34:00,60.23,60.23,60.22,60.22,5,5,4,1
30/10/2025,04:35:00,60.22,60.35,60.22,60.32,264,246,82,180
30/10/2025,04:36:00,60.33,60.37,60.32,60.37,78,62,25,53
30/10/2025,04:37:00,60.37,60.39,60.34,60.37,68,57,26,42
30/10/2025,04:38:00,60.37,60.4,60.34,60.34,23,19,13,10
30/10/2025,04:39:00,60.34,60.36,60.31,60.32,53,50,25,28
30/10/2025,04:40:00,60.32,60.33,60.31,60.32,23,22,7,16
30/10/2025,04:41:00,60.3,60.3,60.27,60.29,33,33,20,13
30/10/2025,04:42:00,60.28,60.34,60.26,60.32,123,96,41,82
30/10/2025,04:43:00,60.32,60.32,60.18,60.22,495,431,250,233
30/10/2025,04:44:00,60.21,60.21,59.96,60.03,966,573,714,244
30/10/2025,04:45:00,60.02,60.19,60,60.16,407,320,76,331
30/10/2025,04:46:00,60.16,60.18,60.15,60.15,67,59,32,35
30/10/2025,04:47:00,60.15,60.2,60.15,60.18,49,48,19,30
30/10/2025,04:48:00,60.18,60.18,60.15,60.16,38,25,24,14
30/10/2025,04:49:00,60.17,60.17,60.12,60.14,18,18,9,9
30/10/2025,04:50:00,60.14,60.14,60.09,60.14,57,53,32,24
